Original Niave Attention,,,,,,,,,,,,,,,,,,,
O2 optimization,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,
16,0.0042,0.022,0.0904,0.3318,1.5768,6.8576,40.02,162.1,670.62,,,,,,,,,,
32,0.0103,0.0412,0.1332,0.6321,2.6599,16.43,93.328,396.27,1627.9,,,,,,,,,,
64,0.0181,0.0647,0.2708,1.1935,7.0365,34.572,203.01,831.28,3382.4,,,,,,,,,,
128,0.0371,0.1378,0.5592,4.1393,16.453,73.57,464.1,1898.1,7932.7,,,,,,,,,,
256,0.0703,0.2888,1.6065,8.2797,34.153,149.78,948.08,3887.9,16167,,,,,,,,,,
512,0.1391,0.884,4.4819,19.782,78.609,336.29,2102.6,9890.1,48714,,,,,,,,,,
1024,0.4293,2.6873,12.335,58.524,243.94,1051.7,6874,35426,156813,,,,,,,,,,
2048,1.0774,5.3099,25.092,124.84,539.72,2334.4,17260,84200,349356,,,,,,,,,,
4096,1.8987,11.289,51.551,250.54,1080.2,5526.6,38278,177362,732453,,,,,,,,,,
O3 optimization,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,
16,0.0052,0.0182,0.0843,0.3085,1.4593,6.2532,37.458,153.1,615.31,,0.8076923077,1.208791209,1.072360617,1.075526742,1.080518057,1.096654513,1.068396604,1.058785108,1.089889649
32,0.0096,0.04,0.1398,0.5615,2.4821,15.145,88.861,378.8,1573.9,,1.072916667,1.03,0.9527896996,1.125734639,1.071632892,1.084846484,1.050269522,1.046119324,1.034309677
64,0.0193,0.0726,0.263,1.1555,6.7461,36.018,202.79,842.81,3366.5,,0.9378238342,0.891184573,1.029657795,1.032886196,1.043047094,0.9598534066,1.001084866,0.9863195738,1.004723006
128,0.0373,0.137,0.5746,3.9791,16.866,79.953,503.04,2001.9,8035,,0.9946380697,1.005839416,0.973198747,1.04026036,0.9755128661,0.9201655973,0.9225906489,0.9481492582,0.9872682016
256,0.0801,0.2965,1.6877,8.2019,34.1,158.05,990.63,4299.8,17425,,0.8776529338,0.9740303541,0.9518871837,1.009485607,1.001554252,0.9476747865,0.9570475354,0.9042048467,0.927804878
512,0.1467,0.9757,4.0531,18.394,76.665,339.19,2086.5,9407.5,45172,,0.9481935924,0.9060161935,1.105795564,1.075459389,1.025357073,0.9914502196,1.007716271,1.051299495,1.078411405
1024,0.4703,2.7658,12.293,58.357,238.76,1071.9,6838.1,35751,154065,,0.9128216032,0.9716176152,1.003416579,1.002861696,1.021695426,0.9811549585,1.005249996,0.9909093452,1.017836627
2048,0.9468,5.536,24.622,117.05,482.03,2451.1,17973,83751,351350,,1.137938319,0.959158237,1.01908862,1.066552755,1.119681348,0.9523887234,0.960329383,1.00536113,0.9943247474
4096,2.0558,11.789,50.394,242.87,1000.9,5992.7,39697,175721,727236,,0.9235820605,0.9575875816,1.022959082,1.031580681,1.079228694,0.9222220368,0.9642542258,1.009338668,1.007173737
O2+ASan,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,
16,0.0135,0.0525,0.1965,0.6954,2.7096,11.226,60.273,236.76,1101.7,,3.214285714,2.386363636,2.173672566,2.095840868,1.718417047,1.637015866,1.506071964,1.460579889,1.642808148
32,0.0203,0.0736,0.2704,1.0771,4.8313,21.429,104.72,452.16,2149.4,,1.970873786,1.786407767,2.03003003,1.704002531,1.816346479,1.304260499,1.122064118,1.1410402,1.320351373
64,0.04,0.1345,0.5018,2.1569,9.6419,40.744,208.97,920.79,4259.2,,2.209944751,2.078825348,1.853028065,1.807205698,1.37026931,1.178525975,1.02935816,1.107677317,1.259224219
